"","DPVAT_1","DPVAT_2","NDPVAT_3","DPVAT_4","OVF_5","SAF_6","NDPVAT_7","DPVAT_8","OVF_9","SAF_10","NDPVAT_11","DPVAT_12","OVF_13","SAF_14","NDPVAT_15","DPVAT_16","SAF_17","NDPVAT_18","NDPVAT_19","SAF_20","SAF_21","DPVAT_22","DPVAT_23","DPVAT_24","SAF_25","DPVAT_26","NDPVAT_27","SAF_28","OVF_29","NDPVAT_30","SAF_31","OVF_32","DPVAT_33","DPVAT_34","NDPVAT_35","SAF_36","DPVAT_37","SAF_38","NDPVAT_39","DPVAT_40","NDPVAT_41","NDPVAT_42","NDPVAT_43","NDPVAT_44","SAF_45","DPVAT_46","SAF_47","SAF_48","NDPVAT_49","OVF_50","SAF_51","NDPVAT_52","SAF_53","NDPVAT_54","DPVAT_55","OVF_56","OVF_57","DPVAT_58","SAF_59","OVF_60","NDPVAT_61","OVF_62","DPVAT_63","OVF_64","SAF_65","SAF_66","DPVAT_67","NDPVAT_68","OVF_69","OVF_70","OVF_71","OVF_72","OVF_73","NDPVAT_74","OVF_75","DPVAT_76","SAF_77","NDPVAT_78","DPVAT_79","OVF_80","SAF_81","OVF_82","DPVAT_83","NDPVAT_84","OVF_85","OVF_86","OVF_87","NDPVAT_88","SAF_89","OVF_90","DPVAT_91","OVF_92","DPVAT_93","NDPVAT_94","SAF_95","NDPVAT_96","DPVAT_97","OVF_98","SAF_99","SAF_100","DPVAT_101","OVF_102","NDPVAT_103","DPVAT_104","SAF_105","OVF_106","NDPVAT_107","SAF_108","DPVAT_109","DPVAT_110","NDPVAT_111","SAF_112","NDPVAT_113","OVF_114","OVF_115","SAF_116","OVF_117","DPVAT_118","NDPVAT_119"
"HSPB3",6.957693,7.632016,9.042123,6.865579,6.895044,6.877304,7.970819,7.464115,6.830585,6.716305,7.527195,6.933133,6.780374,6.831371,7.436528,6.903405,6.81921,7.40655,6.815896,6.942633,6.975055,6.740438,6.930186,7.256173,6.911584,6.905002,8.279624,6.952157,6.844558,8.385404,6.807476,6.83446,7.094594,7.131897,6.888738,6.828091,7.009586,6.779584,7.478771,6.81303,6.682733,6.742923,7.509128,7.486838,6.691897,6.962526,6.746578,6.860762,6.931233,6.740232,6.809604,8.349311,6.778426,6.763737,7.421884,7.043227,6.751702,7.484979,6.7897,6.784344,9.001435,7.059561,6.844395,6.873148,6.925385,6.876916,7.163908,7.25719,7.224003,6.848852,6.938454,6.730292,6.794715,6.757275,6.966241,7.920967,6.752767,7.091143,7.805107,6.861074,6.697294,6.834393,6.815965,7.84762,6.9455,6.881193,7.2022,7.183189,6.681103,6.780703,7.409669,6.68011,6.73904,7.726771,6.825425,6.811954,7.317155,6.76635,6.882357,6.797777,6.804576,6.846153,8.205663,7.600088,6.833302,6.75482,8.225836,6.824511,7.524701,7.275953,8.894168,6.894245,8.972889,6.816437,6.945433,7.031795,6.912141,7.04354,6.986755
"LRRN2",7.423176824,8.068031715,7.389839181,8.195424135,7.126358636,8.012506137,7.454074112,7.764248385,6.843340622,8.186494797,7.989353388,7.267941746,6.879182254,8.115660891,7.021467828,7.926581876,8.304204783,7.464813018,6.952280528,8.504467767,8.318561207,7.912466332,7.780479671,7.801034692,8.715741293,7.215935049,7.522171722,8.052750047,6.777488632,7.392681497,7.801421565,6.782648292,8.436773883,8.127565129,7.980129751,8.051299194,8.295877283,8.329505427,7.30507953,7.872728052,8.200478654,7.948533357,7.778087557,7.094292698,8.250492778,7.640183672,8.020675588,8.239182185,6.963426124,6.853241446,8.014681097,7.61177506,8.501553092,7.185591834,8.21724916,7.365848718,6.868032916,7.895785934,8.106177207,7.392495844,7.778109261,6.911569094,7.886622222,6.776327958,8.517689323,8.458104884,8.28195619,7.214480133,7.427720207,7.575122114,6.793630328,6.801300925,6.83118425,7.093415091,6.990260498,7.700366814,7.907926463,6.938601819,7.590523826,7.171400679,7.892763585,7.005454805,7.922467975,7.822751367,7.082432121,7.165266401,7.044339197,8.249408084,7.972303219,7.260333024,8.761103097,7.393826966,8.329232325,7.637609842,8.235288148,8.435485803,8.005958433,7.136272914,8.317358691,8.202981795,7.664649678,7.162693565,7.394281727,8.321323459,8.16517021,7.218989655,7.827645147,7.956942892,7.597960383,7.27671292,7.65828134,8.126939655,7.731365277,7.191370912,7.781298512,7.91759194,7.239917233,8.041433644,7.516958963
"CLDN11",9.209435,9.371107,9.462533,10.38361,8.91564,10.04401,9.552988,9.576806,9.216855,9.950686,9.696271,8.566345,8.061882,9.568669,8.756091,10.02868,9.661159,9.524259,7.357329,9.582389,9.375779,10.08339,9.972081,10.07882,10.37206,9.493196,9.220989,10.29447,9.280089,10.16653,10.27226,9.206446,10.46381,10.08997,8.829954,9.657607,10.13199,9.511979,9.129287,9.534963,10.59948,10.27179,9.807159,9.880029,9.89171,10.79025,10.56799,10.03808,8.661835,8.637568,10.04329,9.63297,10.6769,7.940285,9.93087,8.817836,8.374194,10.6339,10.02777,9.026319,9.995545,8.486741,9.768869,8.694564,11.15717,9.929729,10.43333,8.259978,8.481145,8.437924,8.703133,8.860937,9.964924,7.261104,10.1273,9.451892,10.18833,8.341325,9.455808,8.870726,9.077374,9.222797,10.20523,9.517366,9.431941,9.221731,9.535693,10.79337,10.06081,8.479437,11.24095,9.032538,11.34949,9.25295,10.60553,9.435025,9.403676,8.88086,10.01737,9.641011,9.86493,8.339894,9.039307,10.26514,10.08553,8.339637,9.243099,9.577218,10.23879,8.692477,9.172753,10.55053,9.120582,9.513049,8.25468,10.16388,9.460066,9.155023,9.487128
"THBS2",9.194511499,9.106479039,9.936756889,10.5498994,9.27412102,9.573236659,9.284577489,9.389890238,9.996721619,9.532913596,10.04650562,8.718141935,9.136856482,10.12586149,9.045482324,10.35403286,9.559391261,9.519185576,7.590854889,9.203527757,9.10244296,9.417902453,10.08874358,10.33962553,9.582106403,9.697483733,8.708815365,8.81655939,9.378064555,9.887279916,9.99333657,9.79983711,9.87337468,10.65267121,9.110683149,9.899955192,10.02945132,9.083844106,9.238122567,9.275189885,10.51741435,9.495161135,9.873996995,9.597236753,9.009066247,9.674931407,10.07262764,9.280266494,8.165376371,10.22980787,10.01637914,9.576023045,9.715190617,8.033944843,10.24010842,9.595807596,9.051059638,10.27273031,9.622596026,9.742971903,9.951616304,9.162799226,9.606129794,9.239951412,10.45076989,10.2815678,10.39715866,8.008694577,9.032639122,8.469714167,9.578134164,8.965830688,9.878467158,7.548922726,10.50892159,9.591134438,9.436942893,8.117240903,9.77850199,9.049593,8.610295776,9.211763857,10.46364702,8.979807833,8.615813116,9.261836031,8.523630984,10.00405226,10.70221798,9.173192505,10.67432492,9.257929792,10.94473764,9.53890089,9.558355464,9.213116129,9.404907667,9.237702926,9.092106581,9.165330235,10.00473189,8.988783457,8.939348713,10.19813632,9.259172787,8.825731334,9.404192031,10.12493341,10.25990737,8.753782983,9.818171239,9.232994487,9.173124834,9.419682445,8.922668336,9.922589299,9.094377282,9.015624603,10.08053757
"CD248",10.01721,10.86306,10.50607,10.60732,10.90091,9.901475,11.32662,11.22647,11.48716,9.71861,11.0461,9.724657,11.23324,9.987824,9.956669,11.09959,9.942169,10.967,7.98209,9.572177,10.91391,11.36121,11.05972,10.94579,11.14602,10.52267,10.01485,9.748436,10.75125,11.22565,10.47232,11.9836,11.59818,10.74683,9.787529,10.08009,11.17726,9.171525,10.19285,11.2592,11.41135,11.14706,10.6169,10.20564,9.540648,11.72677,10.9747,9.992157,9.190661,11.03818,10.52205,9.897417,9.203823,8.141002,11.16931,10.04172,10.8177,10.04193,9.056348,10.9423,10.65402,10.69127,11.3092,11.20309,10.0447,11.0354,11.16237,8.585059,11.1277,10.99554,10.54927,11.0585,10.41053,7.625388,10.69542,9.883266,10.85729,8.415833,10.07404,11.28203,10.40416,10.93281,11.7531,10.5201,10.867,10.91724,10.81641,10.5492,10.75388,9.842548,11.08403,10.29147,10.86734,10.49941,9.875205,10.25575,10.14939,10.39125,9.758583,8.993905,12.3493,10.72887,10.02804,9.731573,9.63751,10.82647,9.113307,9.781907,11.4753,9.257583,10.32096,9.833527,10.1954,10.78502,9.966893,10.10156,10.88891,10.02208,10.22211
"RGS1",8.451092851,6.984893267,6.861210325,10.43217926,6.893709976,6.773481253,7.151134545,8.215544646,7.786238368,7.115940124,7.051565089,9.439159067,6.900656135,7.081731719,8.063221204,9.663038089,6.990964588,6.850955522,8.381966708,7.270754543,7.273134409,7.487711381,6.866463613,9.310961338,6.992966508,7.364276447,6.809921553,6.86150459,6.921023639,6.777636886,7.054646368,6.891643844,9.241041901,8.719216989,7.852693034,7.482934905,8.274154399,6.857001359,6.959495603,6.725285211,7.165263811,7.604094953,7.13585834,6.893245872,6.955417244,7.451732183,6.863435425,7.877179579,8.013188329,6.914504626,6.885463996,6.787456721,6.873920263,8.318647719,7.802957872,6.794199791,6.898119429,7.198829747,6.85796849,7.164631889,6.757635178,6.742230194,6.667861444,7.022091181,6.898210018,6.853904739,7.172123703,8.198197544,6.900895966,6.830659896,7.035524655,7.367398402,6.878082093,8.287757103,6.885152614,7.095539413,6.813128235,7.949342952,10.38417698,7.136180629,8.170694349,7.634204902,7.278320669,7.366047395,6.976110752,7.424902267,7.011960014,6.766336291,7.020820424,6.799252513,8.094548993,6.925228454,7.14097738,6.786731152,7.123244284,6.763993071,7.795830562,6.767360172,7.486870279,7.261232703,7.169103569,6.910562933,6.629498666,8.859036223,6.888822633,6.977414317,8.985139998,6.853027672,7.84314768,10.35955068,6.726028167,7.126483316,6.953285001,6.721304868,6.821200944,6.746087476,6.817920719,6.83304969,6.779181255
"GFPT2",7.600638656,8.283763621,7.871492845,8.091436034,7.7828475,9.609995112,8.107365904,8.263172518,8.299752591,7.833259025,8.971835356,7.930260025,8.58863486,9.110308833,7.552273802,8.745486835,9.178424407,7.86879204,6.828191988,8.980388943,8.673414879,8.079819312,8.593280414,7.57192906,8.386307319,8.226713198,7.869240497,8.151386856,7.651244737,8.124772326,8.57022748,7.949712466,8.700487996,8.651410777,7.571806138,8.862823064,8.240284315,8.934750364,8.109097024,8.440609861,8.695210565,7.727362598,8.436969326,7.977871334,9.73665589,8.178963497,8.166464237,8.09598878,7.253657053,7.748507599,8.952915073,7.906245913,8.925021287,7.067094164,8.354335483,7.518621912,7.484695571,8.199249121,9.204167265,8.27427287,7.775917633,7.80611174,8.165957007,7.710511777,8.049438551,8.49840104,8.488196594,6.767850244,8.479319632,7.035291281,7.961361418,7.475423131,8.117913068,6.671602668,8.025558692,7.626908188,8.646486442,6.79824981,8.474532663,7.664398274,7.869410569,7.844194212,8.626701438,7.150542249,7.887354553,7.753115384,7.899872822,7.827386319,8.605037205,7.168696002,8.110909972,7.767162136,8.760218661,7.842994071,7.842083585,7.875996417,7.577286487,7.622201907,8.362672809,7.685983326,9.149233264,7.371624916,8.02496055,8.490928066,8.296029409,7.454285099,7.491987449,8.270601761,8.801952822,7.165318408,7.206045868,8.308091106,7.959428584,7.694903431,7.186355326,8.716565994,7.920646389,7.650832448,8.337785752
"STK32B",7.379161,7.991271,7.321458,7.436685,7.207135,7.581053,7.862386,7.787642,7.631662,7.325539,7.419507,7.533639,7.374556,7.16628,7.105342,7.94835,7.45115,7.178934,7.1121,7.362471,7.490534,7.589592,7.728804,7.253353,7.228251,7.426521,7.078873,7.414174,7.274454,7.604096,7.3827,7.648232,7.562535,7.380215,7.066126,7.488771,7.031248,7.247436,7.119672,7.471046,7.745955,7.115004,7.297687,6.879715,7.667424,7.634611,7.423074,7.301805,7.144259,7.351011,8.185719,7.424524,7.273409,7.145527,7.455799,7.454229,7.099855,7.568522,7.68191,7.735842,7.569678,7.350825,8.070569,7.514015,7.729646,7.990085,8.471912,7.426971,7.82334,7.622731,7.556966,7.403034,7.628444,7.062514,7.590681,7.436844,8.071348,7.09715,7.513871,7.193071,7.184198,7.451006,8.221213,7.065075,7.27616,7.549861,7.409813,7.581125,8.093681,7.066866,7.125787,7.552863,8.250873,7.366793,7.559703,7.276293,6.982862,7.283836,7.405569,7.400362,8.973548,7.170284,7.75539,7.771901,7.983633,7.015577,7.202935,7.919865,8.170457,7.270622,7.24758,7.839309,7.58586,7.67737,7.040211,7.757298,7.805582,7.139386,7.40468
"S100A8",10.04492,10.98885,9.297502,10.33883,8.352262,10.22376,9.961695,10.31723,7.94269,9.715635,9.487261,9.183999,6.996513,8.106891,8.704373,10.90489,11.14177,8.777334,9.757525,8.944871,8.521264,10.07632,9.821031,10.49872,10.43937,13.1891,8.070679,8.670637,8.302621,12.50658,8.613911,9.653456,10.55322,10.13171,7.99951,9.17528,11.34589,9.300737,9.544405,9.028274,11.11581,10.11496,9.424458,11.24352,8.60674,11.55705,8.287898,10.5828,8.259029,7.923252,9.855006,10.74364,10.78493,11.38638,12.55109,10.7143,8.651591,12.554,8.520175,7.757391,11.04516,7.234551,10.26443,8.724806,9.918971,7.957483,12.45847,8.94256,9.077913,9.053998,7.526907,8.01029,7.812628,8.892477,8.382024,12.25397,9.856404,8.283512,11.49892,9.006169,10.2077,10.1312,11.78598,12.20011,9.822389,10.12274,9.780267,8.377235,8.755272,8.283145,9.2701,7.88925,11.45069,10.34052,10.81124,9.06025,11.9388,8.2959,11.42891,12.03103,10.26055,8.090401,9.411976,10.19395,7.949974,9.010503,9.27726,11.33397,10.90602,10.41275,8.975972,9.999186,9.380085,7.257647,9.45556,9.814464,7.711083,9.354281,9.205649
"AQP9",7.093774,7.535375,7.134419,7.499967,6.948308,9.651715,7.679459,7.430257,7.848823,8.515799,7.19065,7.148857,6.703501,9.509115,6.986852,8.123905,9.795082,6.801708,7.431475,9.389195,9.461367,7.743903,8.368352,7.45351,8.701969,11.6905,6.995218,8.549034,6.739361,9.052934,9.621798,7.018009,9.196406,7.98796,7.222216,9.374293,8.195138,10.2153,7.917796,7.638527,7.879887,7.736433,7.46572,8.611476,9.952641,8.533703,8.41984,10.18078,6.961973,7.259573,10.03068,7.882686,9.731601,7.111851,8.730784,8.004071,6.963952,9.092606,10.06789,7.484417,7.617096,6.704133,7.234388,7.280409,8.992622,8.688669,9.068557,6.912223,7.192869,6.912062,6.987409,7.218496,6.835679,6.725126,6.822897,8.841699,10.91829,6.655032,8.231192,7.038785,8.684885,7.648922,8.345873,8.541308,7.596706,7.503181,7.629558,6.88668,7.872497,6.870767,6.947164,7.455719,8.304737,7.486128,8.160059,7.031696,8.73608,6.926449,9.455415,7.949987,7.913277,7.597018,7.056676,7.464682,10.0575,7.284807,6.903263,10.29029,8.177767,7.586296,7.456703,9.35953,7.159696,6.702329,7.182704,10.02411,6.808953,7.357314,7.109891
"CD14",11.8369,11.90937,12.45611,12.788,11.183,12.68392,12.51917,12.92628,12.1226,12.33636,11.70122,11.82294,11.68484,11.96117,11.37781,12.36876,13.10406,12.44467,10.7182,11.9744,12.17657,11.85517,11.61458,12.09745,12.06124,12.25988,11.10464,12.31323,11.13605,12.36444,12.44484,12.05768,13.06171,12.61331,11.18889,11.69486,11.18252,12.32708,10.98243,11.41763,13.02222,12.59029,11.59651,11.23973,12.51648,12.06868,12.28935,12.10107,10.58123,10.75258,12.77697,11.93781,12.67269,11.71601,13.62765,11.27883,11.86416,12.29666,12.29565,11.51535,12.07789,10.51757,11.795,11.82869,12.72232,12.00012,12.18477,11.09517,12.1364,11.51718,12.20675,11.65973,11.34417,11.70255,11.73662,11.93473,12.48257,10.91652,12.56914,11.63246,12.39847,11.6216,11.7952,11.89516,11.83259,11.69041,11.897,11.56586,11.93757,10.93067,12.23646,10.83333,12.2121,12.32218,13.0085,11.10329,11.92161,11.20959,12.96884,13.37384,12.63447,11.26893,11.23775,11.59365,11.67505,11.20027,10.683,12.82542,12.75221,12.33338,11.41721,12.39387,11.70463,11.33397,10.73237,12.2051,11.28155,12.35434,12.384
"RAMP1",7.182763,7.855185,8.126526,6.727408,6.653993,7.131462,7.209284,7.124302,6.668696,7.006988,7.214812,6.898108,6.69692,6.862491,7.11094,6.863403,7.071481,7.271393,7.289626,7.124043,7.008083,7.061377,6.815375,7.141207,6.891181,6.770081,7.570573,6.99601,6.621368,7.738699,6.87385,6.63264,6.907324,6.727251,6.779581,6.650129,6.73716,6.69348,7.173408,6.76602,7.084562,6.739976,7.124955,6.753327,6.942349,7.17396,6.882725,6.805472,7.051386,6.715512,7.15328,7.503344,6.783624,7.086117,6.975505,6.966828,6.574579,7.06583,6.985692,6.704403,7.999903,6.632569,6.621069,6.610037,7.065402,6.739726,7.065937,7.153992,6.692218,6.622983,6.553202,6.640874,6.560463,7.176813,6.583031,7.370408,6.771219,6.91916,6.901657,6.602361,6.683767,6.683516,6.673204,7.15738,6.630179,6.748881,6.659275,7.067712,6.701336,6.763787,7.276729,6.607185,6.732865,7.257459,6.781259,7.057652,6.930031,6.601239,6.762943,6.69049,6.669319,6.575624,7.15004,7.495881,6.882328,6.650301,8.044225,7.248784,7.428424,7.110697,8.178832,7.001388,7.775587,6.698939,6.626319,7.391021,6.63117,6.660694,6.631515
"SLC25A25",8.780971,8.993468,8.397163,8.882889,8.744331,8.436936,8.543783,9.163072,8.120257,8.610203,8.894978,8.844548,9.348954,9.013283,8.633933,9.193333,8.447885,9.17146,8.513358,8.72137,9.100489,8.835343,9.334701,8.991015,8.607247,8.842953,8.729291,8.183683,8.49056,8.16837,8.71539,8.499808,9.759019,9.776267,8.680068,9.472052,9.578465,8.751013,9.25958,9.00029,8.295017,8.517021,9.024919,8.613257,8.835674,9.470862,9.147057,8.535145,8.37901,8.382493,8.965047,8.748271,8.58306,8.349901,8.871188,8.735401,8.925305,8.599725,8.740813,8.977263,8.67388,8.660941,8.69392,8.565451,8.087932,8.728752,8.709807,8.386355,8.989638,8.670501,8.481917,8.526427,9.153672,8.549555,8.84449,9.280048,8.699744,8.400942,9.89451,9.472246,10.31791,8.833657,9.725485,9.572372,8.726913,8.669664,8.786557,8.612154,8.953699,8.81495,9.054265,9.251963,9.566406,8.873443,9.306091,8.746295,8.888002,8.95895,8.9374,8.448816,9.169138,8.518211,9.094137,10.54472,8.836913,9.145984,9.464124,8.683028,8.779717,8.720575,8.818853,8.505518,8.691558,8.478075,9.446128,8.406741,8.720864,8.645074,9.330738
"ZSWIM4",8.333975,8.272377,7.456771,8.350205,7.391409,7.575265,7.5889,8.387876,7.846821,7.797492,7.768125,8.268965,7.414599,7.821993,7.805978,7.962975,7.443777,7.873844,8.281087,7.975727,8.069162,8.161611,7.670729,8.027387,7.841886,7.46937,7.805947,7.516001,7.730669,7.591407,7.742446,7.651553,8.126555,8.108031,7.746236,7.63212,8.23257,7.635269,7.829658,7.412389,7.491157,7.32302,7.538788,7.230281,7.69309,7.750685,7.472232,7.691599,7.453139,7.430722,7.644653,7.813424,7.937769,8.354577,7.887601,7.712398,7.979771,8.054106,7.838866,7.832541,8.031588,7.903992,7.453004,7.825737,7.996672,7.776559,8.450806,7.952397,7.690112,8.076087,7.905756,8.035304,7.854381,8.140788,7.931852,8.100558,7.753033,8.259566,8.770136,7.97415,8.690446,8.229147,8.049523,7.941654,7.636361,8.236284,7.567062,7.714194,7.846235,7.728066,8.543762,7.862767,8.80085,7.73877,8.202607,7.852652,8.143513,7.658407,8.06617,8.010836,7.943666,8.08366,7.687168,9.581034,7.950663,7.685847,8.920436,7.874409,8.61886,8.521068,7.864467,7.900264,7.833908,7.808846,7.576838,7.88168,7.903248,7.729494,7.993292
"VNN2",8.326155298,7.556676871,7.378709125,8.260229941,7.076787996,7.131462123,8.109624914,7.969202617,7.251728302,7.808160917,7.569450068,8.567990369,7.08387359,7.004430506,8.149211846,8.839501236,7.414476567,6.914004903,8.451082512,6.969042574,6.873724871,8.054063594,8.369076132,8.902536931,7.419095817,11.4273049,7.438748863,7.384186071,7.12465828,8.364214044,7.392434445,6.777872138,9.814185937,8.087780433,7.907491003,7.515057469,8.063058208,7.191430512,7.712896127,7.655096282,8.621380491,8.391841453,8.035804143,8.836492462,7.518430034,8.016686886,7.670463246,7.725455486,8.472209414,7.351968682,7.085220113,7.570988633,7.365182567,8.508155015,8.598586473,7.719013605,6.851267911,8.562375865,6.957147714,7.318193288,8.050240261,6.877923449,7.533357039,7.331537587,7.691088848,7.020702368,9.406051195,8.853673547,7.695520556,7.279326777,7.002076966,6.908929474,7.156739051,8.743621088,7.081045097,8.765000519,7.113963516,8.657184466,8.674657348,6.975670728,7.578074443,7.622871549,8.056560289,8.176298778,7.883817391,7.609005727,7.797186843,7.127177243,7.231209049,6.981536047,7.604610864,6.986515104,8.560158473,7.744925794,7.174602997,7.156200032,8.899283845,7.029706354,7.687976614,7.991894001,8.172540851,7.308799782,7.549525531,8.153598251,7.284813288,7.255579616,7.72139135,7.404225297,8.509090732,8.72343525,7.563101346,7.496797208,7.552744062,7.303338596,7.468790754,7.665865635,7.060743527,8.629232101,7.364171759
"CSGALNACT1",7.381501,8.016866,8.557546,7.519466,7.180951,7.957919,7.744953,7.954683,7.244759,7.476731,7.979763,7.729008,7.29751,8.054751,8.21947,7.843085,7.919052,7.675514,7.489629,7.525214,7.344949,7.950665,7.915732,7.669511,7.718851,7.506862,8.472243,7.869487,7.334263,8.743735,7.662989,7.150476,8.134762,8.374811,7.877355,7.615039,7.290803,7.735043,8.27157,7.336016,7.765655,7.712477,8.253451,7.954832,7.997634,7.819835,7.474391,8.075709,8.091954,7.190551,7.753905,8.445727,8.099459,7.900781,8.141047,7.325467,7.482468,7.935902,7.882003,7.580116,8.567629,7.275018,7.118198,7.25987,7.905276,7.377307,7.800365,7.858097,7.157294,7.220642,7.351024,7.326184,7.229977,7.599052,7.248087,8.202776,7.916811,7.601767,7.702047,7.294463,7.551556,7.437679,7.513189,8.295387,7.084079,7.423429,6.895677,7.681217,7.258209,7.276174,7.695684,7.132563,7.498823,7.690184,7.566976,7.828022,7.7259,7.377471,7.888534,7.572421,7.299829,7.253443,8.374244,8.083933,7.897431,7.08727,8.765926,7.84401,8.311448,7.883794,8.435749,7.935241,8.368145,7.397995,7.203493,7.894615,7.425358,7.44345,7.496043
"LILRA2",6.973398,7.647905,6.920586,7.125754,6.770882,7.150016,7.256682,7.213394,7.298332,7.090654,7.024795,7.018311,6.92169,6.978612,7.094826,7.569891,7.213965,6.880103,7.552999,6.912494,7.032071,7.475693,7.346033,7.10688,7.122784,9.515763,7.102751,7.221645,7.007151,7.703634,7.186082,7.256424,8.184681,7.247257,6.834859,7.112368,7.273223,7.157842,7.149058,7.214264,7.438581,7.61163,7.020453,7.339031,7.013467,7.301149,7.075272,7.585029,6.947395,6.853241,7.302571,7.44574,7.455841,7.770095,8.371087,7.213924,7.297393,7.770917,7.248176,7.135471,7.116157,6.700986,7.1555,7.220703,7.341226,7.043176,8.343104,7.358966,7.153184,6.999583,6.988393,7.265939,6.883715,7.698794,7.087438,8.094783,7.493481,7.271497,7.696119,7.298517,7.549031,7.327793,7.645486,7.766111,7.238156,7.336628,7.469139,6.907136,7.163552,6.9138,7.077588,7.105964,7.699801,7.219117,7.45484,6.842055,7.756448,6.75931,7.138652,7.062708,7.589077,6.970137,7.03516,7.077612,6.953391,7.063024,6.94136,7.334412,7.65802,7.556092,7.206046,7.449796,7.180692,7.113677,6.984078,7.432262,7.017244,7.350605,7.091265
"SQLE",7.31662,7.012753,7.910589,8.187536,7.750693,7.923957,7.61609,7.419229,7.470521,7.632607,7.47532,7.759975,7.166477,7.599221,8.148833,7.736536,7.945498,7.055341,8.431015,7.327997,7.420494,7.764509,7.380825,7.70673,7.233274,7.116765,8.202261,7.763209,7.375529,7.701708,7.614016,7.211248,7.59402,7.637298,8.447887,7.551438,7.592014,8.072624,8.478697,7.354817,7.9904,7.968334,7.885493,7.333624,7.934652,7.169041,7.429832,7.774795,8.528236,7.415369,7.520623,7.271365,7.93821,8.364811,7.694942,7.793133,7.092917,7.569782,7.617693,7.276625,7.613953,7.422738,7.39585,7.264404,7.923776,7.484293,7.056904,7.886483,7.469942,6.919311,7.252511,7.260956,7.24565,8.08136,7.24653,7.225868,7.574807,8.199176,8.08498,7.562168,7.735841,7.408446,7.490694,7.563108,7.249185,7.52268,7.270042,7.712227,6.951469,7.587107,8.096791,7.264438,7.415859,7.429217,7.853505,7.674206,7.328622,7.218626,7.659858,7.722884,7.231505,7.14345,7.499978,7.651877,7.843092,7.261657,7.546211,7.613423,7.539052,7.594456,7.663825,7.521271,7.377282,7.185594,7.235066,7.644102,7.235112,7.202769,7.408997
"ACKR3",10.33652,11.07376,10.65075,10.99111,10.30073,9.896102,11.07906,11.35092,10.50938,10.04929,11.61956,10.07311,11.39691,10.27898,10.21859,11.98673,10.25415,10.16955,8.103351,9.994729,10.39611,11.60879,11.83634,11.06218,10.95183,11.52527,10.70427,9.876046,10.85709,11.37117,11.19419,11.11926,12.3364,11.77957,11.06384,10.76948,11.00714,10.18222,11.03183,10.9559,11.68847,10.90089,11.54333,11.39925,10.24078,11.5195,11.52798,10.22188,9.988937,11.17656,10.85395,10.60945,9.388273,8.334518,11.12678,10.27721,9.682908,10.24434,9.761958,10.98108,10.7251,10.36923,11.36195,10.78173,10.10547,10.91178,11.33908,9.223506,11.45112,10.17211,10.50032,10.36183,11.27684,8.045153,11.03131,10.91053,10.44826,8.638415,11.0663,10.16472,9.990761,11.05051,10.88431,9.795401,10.96381,11.14417,11.03791,10.37181,11.34559,9.930743,10.97193,10.79815,11.74157,10.66627,9.551963,10.753,10.54501,10.88869,9.695998,9.566545,12.21846,9.456668,11.02498,11.33929,10.43415,10.65381,11.41248,10.52447,12.31034,10.01776,10.93165,10.16057,11.05252,10.98629,9.914394,10.60236,11.07184,10.6954,11.27832
"DACT2",7.661012692,8.129629732,7.217626238,7.208114284,6.758739155,7.364197924,8.276027648,8.063893708,7.206409569,7.222838537,8.512705747,7.562841257,7.911717974,7.988046537,7.168517913,8.667707405,8.033161147,6.904341459,6.66746997,7.53761934,7.719733132,8.572586863,8.399525478,7.768631325,7.167932386,7.71434189,7.149292431,8.056942456,7.109053491,7.978514932,7.606550985,7.246556012,8.721502735,7.417854245,7.161209094,7.468568893,8.089911031,8.103086126,7.549903006,7.807287388,8.318235209,7.254246733,8.061422337,7.666804528,7.878193532,8.113023326,7.469527727,7.900536711,7.055790526,6.747641697,8.008127249,7.583037971,7.88540833,6.629384934,7.319604526,6.671693031,6.683512113,6.977058891,8.105089103,7.307846657,6.785519361,6.717750304,8.332691422,6.923336062,7.544425247,8.149409355,8.653691247,6.658659765,7.42256308,6.869397628,7.019414552,6.758523274,7.045614855,6.77408043,6.964226439,7.43892131,7.838844779,6.736473717,6.912796749,6.993809838,6.617822483,7.055724369,8.107503718,6.717812875,7.484607754,7.006245023,7.402309131,7.455027245,8.001180902,6.844288221,7.189247463,6.983928137,8.217735629,7.3804653,6.905522459,7.313116281,6.980257781,6.935978486,7.760415062,7.30637743,9.818686308,6.847294212,8.279680918,7.097470551,7.859264843,6.96314629,6.804126447,7.496229549,8.73046215,6.851026673,7.106362583,8.14021524,8.026459136,7.218263541,6.897262378,8.023469946,7.238318757,7.620585033,7.437018763
